activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1940577,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2[nH]c3ccccc3c(=O)c2c1OC,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,,CHEMBL242512,,CHEMBL242512,,False,http://www.openphacts.org/units/Nanomolar,649847,>,1,True,>,,IC50,nM,,20000.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,20.0
,1940578,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,O=c1c2ccccc2[nH]c2cc(C(F)(F)F)cc(O)c12,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,,CHEMBL242943,,CHEMBL242943,,False,http://www.openphacts.org/units/Nanomolar,649852,>,1,True,>,,IC50,nM,,20000.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,20.0
,1940579,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(O)c2c(=O)c3ccccc3[nH]c2c1,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,,CHEMBL242942,,CHEMBL242942,,False,http://www.openphacts.org/units/Nanomolar,649851,>,1,True,>,,IC50,nM,,20000.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,20.0
,1940580,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,O=c1c2ccccc2[nH]c2ccc(O)cc12,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,,CHEMBL242515,,CHEMBL242515,,False,http://www.openphacts.org/units/Nanomolar,649850,>,1,True,>,,IC50,nM,,20000.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,20.0
,1940581,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,O=c1c2ccccc2[nH]c2cccc(O)c12,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,,CHEMBL397685,,CHEMBL397685,,False,http://www.openphacts.org/units/Nanomolar,649849,>,1,True,>,,IC50,nM,,20000.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,20.0
,1940595,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,"{'bei': '11.33', 'le': '0.21', 'lle': '0.83', 'sei': '6.88'}",CHEMBL396298,ELACRIDAR,CHEMBL396298,6.39,False,http://www.openphacts.org/units/Nanomolar,649857,=,1,True,=,,IC50,nM,,410.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,0.41
,2385030,[],CHEMBL938574,Inhibition of ABCG2,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(CCc2ccccc2OCc2cccc(OC)c2OC)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1140844,J. Med. Chem.,2008,,CHEMBL258610,,CHEMBL258610,,False,http://www.openphacts.org/units/Nanomolar,802715,=,1,True,=,,IC50,nM,,120000.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,120.0
,2385031,[],CHEMBL938574,Inhibition of ABCG2,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(CCc2ccccc2OCc2ccc(OC)c(OC)c2)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1140844,J. Med. Chem.,2008,,CHEMBL272836,,CHEMBL272836,,False,http://www.openphacts.org/units/Nanomolar,802833,=,1,True,=,,IC50,nM,,150000.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,150.0
,2385032,[],CHEMBL938574,Inhibition of ABCG2,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(CCc2ccccc2NCc2cccc(OC)c2OC)c1,,,CHEMBL1140844,J. Med. Chem.,2008,"{'bei': '15.43', 'le': '0.28', 'lle': '0.71', 'sei': '14.66'}",CHEMBL272423,,CHEMBL272423,5.82,False,http://www.openphacts.org/units/Nanomolar,802834,=,1,True,=,,IC50,nM,,1500.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,1.5
,2385033,[],CHEMBL938574,Inhibition of ABCG2,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(CCc2ccccc2NCc2ccc(OC)c(OC)c2)c1,,,CHEMBL1140844,J. Med. Chem.,2008,"{'bei': '16.69', 'le': '0.31', 'lle': '1.19', 'sei': '15.86'}",CHEMBL272036,,CHEMBL272036,6.30,False,http://www.openphacts.org/units/Nanomolar,802835,=,1,True,=,,IC50,nM,,500.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,0.5
,2390697,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3,,,CHEMBL1140935,J. Med. Chem.,2009,,CHEMBL410316,FUMITREMORGIN,CHEMBL410316,,False,http://www.openphacts.org/units/Nanomolar,727918,>,1,True,>,,IC50,nM,,11000.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,11000.0
Not Determined,2390699,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)[C@@H](O)CCCC(=O)O,,,CHEMBL1140935,J. Med. Chem.,2009,,CHEMBL495936,LEUKOTRIEN C4,CHEMBL495936,,False,,728016,,1,False,,,IC50,,,,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,,,,
Not Determined,2390700,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,,,CHEMBL1140935,J. Med. Chem.,2009,,CHEMBL15177,MK-571,CHEMBL15177,,False,,728015,,1,False,,,IC50,,,,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,,,,
,2390701,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C)c(NC(=O)c4cnc5ccccc5c4)c3)cc1)CC2,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '9.49', 'le': '0.17', 'lle': '-0.97', 'sei': '6.14'}",CHEMBL500094,,CHEMBL500094,5.70,False,http://www.openphacts.org/units/Nanomolar,727932,=,1,True,=,,IC50,nM,,1990.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,1990.0
,2390702,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(NC(=O)c2cnc3ccccc3c2)cc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)c1,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '9.75', 'le': '0.18', 'lle': '-0.36', 'sei': '5.89'}",CHEMBL453516,,CHEMBL453516,6.01,False,http://www.openphacts.org/units/Nanomolar,727931,=,1,True,=,,IC50,nM,,977.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,977.0
,2390703,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(NC(=O)c4cnc5ccccc5c4)c(OC)c(OC)c3)cc1)CC2,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '9.38', 'le': '0.17', 'lle': '-0.30', 'sei': '5.45'}",CHEMBL506742,,CHEMBL506742,6.07,False,http://www.openphacts.org/units/Nanomolar,727930,=,1,True,=,,IC50,nM,,858.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,858.0
,2390704,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2c1,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '10.54', 'le': '0.19', 'lle': '0.13', 'sei': '6.37'}",CHEMBL446339,,CHEMBL446339,6.50,False,http://www.openphacts.org/units/Nanomolar,727929,=,1,True,=,,IC50,nM,,317.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,317.0
,2391373,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cccnc1,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '10.08', 'le': '0.19', 'lle': '1.00', 'sei': '5.03'}",CHEMBL456361,,CHEMBL456361,5.99,False,http://www.openphacts.org/units/Nanomolar,727928,=,1,True,=,,IC50,nM,,1015.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,1015.0
,2392321,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnccn1,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '10.41', 'le': '0.19', 'lle': '1.81', 'sei': '4.70'}",CHEMBL501349,,CHEMBL501349,6.20,False,http://www.openphacts.org/units/Nanomolar,727927,=,1,True,=,,IC50,nM,,632.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,632.0
,2392322,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc(C)cn1,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '10.26', 'le': '0.19', 'lle': '1.57', 'sei': '4.74'}",CHEMBL457439,,CHEMBL457439,6.26,False,http://www.openphacts.org/units/Nanomolar,727926,=,1,True,=,,IC50,nM,,552.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,552.0
,2392323,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ncccc2c1,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '10.47', 'le': '0.19', 'lle': '0.61', 'sei': '5.67'}",CHEMBL455275,,CHEMBL455275,6.75,False,http://www.openphacts.org/units/Nanomolar,727925,=,1,True,=,,IC50,nM,,179.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,179.0
,2392324,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2n1,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '10.43', 'le': '0.19', 'lle': '1.20', 'sei': '5.10'}",CHEMBL506278,,CHEMBL506278,6.74,False,http://www.openphacts.org/units/Nanomolar,727924,=,1,True,=,,IC50,nM,,183.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,183.0
,2392325,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ccccc2n1,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '11.20', 'le': '0.21', 'lle': '1.08', 'sei': '6.06'}",CHEMBL502503,,CHEMBL502503,7.22,False,http://www.openphacts.org/units/Nanomolar,727923,=,1,True,=,,IC50,nM,,60.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,60.0
,2392326,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2c1,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '10.74', 'le': '0.20', 'lle': '0.78', 'sei': '5.81'}",CHEMBL453536,,CHEMBL453536,6.92,False,http://www.openphacts.org/units/Nanomolar,727922,=,1,True,=,,IC50,nM,,119.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,119.0
,2392327,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '9.34', 'le': '0.17', 'lle': '-0.33', 'sei': '5.43'}",CHEMBL348475,TARIQUIDAR,CHEMBL348475,6.04,False,http://www.openphacts.org/units/Nanomolar,727921,=,1,True,=,,IC50,nM,,916.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,916.0
,2392328,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '11.71', 'le': '0.21', 'lle': '1.04', 'sei': '7.11'}",CHEMBL396298,ELACRIDAR,CHEMBL396298,6.60,False,http://www.openphacts.org/units/Nanomolar,727920,=,1,True,=,,IC50,nM,,250.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,250.0
,2392329,[],CHEMBL938929,Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,,,CHEMBL1140935,J. Med. Chem.,2009,"{'bei': '14.16', 'le': '0.27', 'lle': '3.01', 'sei': '6.60'}",CHEMBL488910,,CHEMBL488910,6.65,False,http://www.openphacts.org/units/Nanomolar,727919,=,1,True,=,,IC50,nM,,225.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,nM,UO_0000065,,225.0
,3086510,[],CHEMBL1047706,Inhibition of BCRP expressed in MCF7 MX cells by Hoechst 33342 staining,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)Nc1ccccc1[N+](=O)[O-],,,CHEMBL1153145,Bioorg. Med. Chem. Lett.,2010,"{'bei': '12.41', 'le': '0.23', 'lle': '0.33', 'sei': '5.91'}",CHEMBL475554,,CHEMBL475554,5.17,False,http://www.openphacts.org/units/Nanomolar,877375,=,1,True,=,,IC50,nM,,6760.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,6.76
,3086511,[],CHEMBL1047706,Inhibition of BCRP expressed in MCF7 MX cells by Hoechst 33342 staining,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccccc3[N+](=O)[O-])cc1)CC2,,,CHEMBL1153145,Bioorg. Med. Chem. Lett.,2010,"{'bei': '10.47', 'le': '0.19', 'lle': '0.13', 'sei': '4.71'}",CHEMBL475362,,CHEMBL475362,4.99,False,http://www.openphacts.org/units/Nanomolar,877294,=,1,True,=,,IC50,nM,,10200.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,10.2
,3086512,[],CHEMBL1047706,Inhibition of BCRP expressed in MCF7 MX cells by Hoechst 33342 staining,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc1)CC2,,,CHEMBL1153145,Bioorg. Med. Chem. Lett.,2010,"{'bei': '11.35', 'le': '0.21', 'lle': '0.55', 'sei': '5.11'}",CHEMBL474972,,CHEMBL474972,5.41,False,http://www.openphacts.org/units/Nanomolar,877249,=,1,True,=,,IC50,nM,,3890.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,3.89
